,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
140,1,1983,5,11,1,3,0,0,0,1,1,1,1,1,1,160.0,4,3,5,40,5,4,9,9,4,0,3,3,1,2,5
141,1,1981,6,1,0,3,0,0,0,1,0,1,2,0,1,210.0,4,3,5,75,3,0,8,9,4,0,3,2,1,2,5
142,1,1983,5,5,0,4,0,1,0,0,0,0,3,0,0,160.0,0,0,2,40,5,3,6,7,2,0,2,2,1,2,2
143,1,1983,5,8,4,4,0,0,0,0,0,0,1,0,1,144.0,1,3,5,25,5,3,6,7,4,0,3,2,1,2,5
144,1,1982,6,2,2,4,0,0,0,1,0,1,1,0,1,170.0,2,3,5,50,5,3,6,7,2,0,3,3,1,2,5
145,1,1984,5,10,2,3,0,0,0,0,0,0,1,1,0,145.0,7,3,5,26,3,0,8,7,2,0,2,2,1,2,5
146,1,1984,5,8,1,3,0,0,0,1,1,1,2,0,1,145.0,11,3,5,26,5,0,3,9,0,0,3,2,1,2,5
147,1,1984,5,6,2,7,0,0,0,1,0,1,1,0,0,278.0,9,1,3,,5,0,8,5,4,0,3,2,1,2,3
148,1,1981,6,-3,1,4,0,0,1,1,0,1,2,0,1,260.0,2,1,3,91,4,0,8,2,1,0,2,2,1,2,3
149,0,1982,5,5,6,5,0,0,0,1,0,1,3,1,1,140.0,7,0,2,22,5,0,6,12,4,0,2,2,1,2,2
150,1,1982,5,6,0,3,0,0,0,1,0,1,8,1,1,162.0,10,0,2,31,5,3,6,7,4,0,2,3,1,2,2
151,0,1981,5,6,2,3,0,0,0,1,0,1,1,1,1,120.0,3,0,2,8,5,4,7,5,0,0,3,3,1,3,2
152,0,1983,5,3,0,5,0,0,0,1,0,1,1,0,0,110.0,10,3,5,4,5,0,8,7,0,0,3,2,1,3,5
153,1,1981,6,4,1,7,0,0,0,1,0,1,2,1,1,210.0,11,0,2,75,5,4,1,7,4,0,3,2,1,2,2
154,1,1980,5,11,1,3,0,1,0,1,0,1,5,0,1,260.0,1,0,2,91,4,0,8,12,4,0,3,3,0,2,2
155,1,1982,5,9,4,4,0,0,0,0,0,0,2,1,0,176.0,9,3,5,,5,4,7,9,0,0,3,2,1,2,5
156,1,1983,6,2,2,5,0,0,0,0,0,0,1,0,0,210.0,0,3,5,75,5,3,6,9,0,0,3,2,1,2,5
157,0,1982,5,2,4,3,0,0,0,1,0,1,2,0,0,180.0,5,3,5,57,3,4,7,9,4,0,3,2,1,2,5
158,0,1980,5,5,0,6,0,0,0,1,0,1,4,1,1,221.0,1,0,2,,5,0,8,7,4,0,2,2,2,2,2
159,1,1982,6,0,1,2,0,0,0,1,0,1,1,0,0,185.0,11,0,2,61,5,4,0,7,4,0,2,2,1,2,2
160,1,1980,5,7,2,5,0,0,0,1,0,1,6,0,1,154.0,10,3,5,34,5,0,8,7,4,0,3,2,4,3,5
161,0,1984,5,7,1,8,0,1,0,0,0,0,1,0,1,178.0,8,0,2,56,5,0,8,7,4,0,3,2,1,3,2
162,0,1984,5,6,2,6,0,0,0,1,0,1,3,0,1,130.0,0,1,3,14,5,0,6,7,4,0,3,2,1,2,3
163,0,1983,5,1,1,6,0,1,0,0,0,0,1,0,0,115.0,8,1,5,5,4,0,8,7,4,0,3,2,1,2,3
164,1,1982,6,0,2,4,0,0,0,0,0,0,1,0,1,215.0,5,3,5,77,5,4,7,9,4,0,3,2,1,2,5
165,1,1983,6,1,2,4,0,0,0,1,0,1,2,0,0,162.0,8,3,5,31,5,3,6,7,4,0,2,2,1,3,5
166,0,1984,5,0,3,4,0,0,0,0,0,0,2,0,0,120.0,1,1,5,8,4,0,3,2,1,0,3,2,1,2,3
167,0,1983,5,2,1,6,0,0,0,1,1,1,2,0,0,137.0,7,1,3,11,5,0,8,9,4,0,3,2,1,3,3
